filename,image_path,classification
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_1.png,multicolumn
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_2.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_3.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_4.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_5.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_6.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_7.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_8.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_9.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_10.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_11.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_12.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_13.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_14.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_15.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_16.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_17.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_18.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_19.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_20.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_21.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_22.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_23.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_24.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_25.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_26.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_27.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_28.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_29.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_30.png,single column
04.29.19.pdf,D:\DATA300\AudioBookSum\output_images\04_29_19_page_31.png,single column
1706.03762v7.pdf,D:\DATA300\AudioBookSum\output_images\1706_03762v7_page_1.png,single column
1706.03762v7.pdf,D:\DATA300\AudioBookSum\output_images\1706_03762v7_page_2.png,single column
1706.03762v7.pdf,D:\DATA300\AudioBookSum\output_images\1706_03762v7_page_3.png,single column
1706.03762v7.pdf,D:\DATA300\AudioBookSum\output_images\1706_03762v7_page_4.png,single column
1706.03762v7.pdf,D:\DATA300\AudioBookSum\output_images\1706_03762v7_page_5.png,single column
1706.03762v7.pdf,D:\DATA300\AudioBookSum\output_images\1706_03762v7_page_6.png,single column
1706.03762v7.pdf,D:\DATA300\AudioBookSum\output_images\1706_03762v7_page_7.png,single column
1706.03762v7.pdf,D:\DATA300\AudioBookSum\output_images\1706_03762v7_page_8.png,single column
1706.03762v7.pdf,D:\DATA300\AudioBookSum\output_images\1706_03762v7_page_9.png,single column
1706.03762v7.pdf,D:\DATA300\AudioBookSum\output_images\1706_03762v7_page_10.png,single column
1706.03762v7.pdf,D:\DATA300\AudioBookSum\output_images\1706_03762v7_page_11.png,single column
1706.03762v7.pdf,D:\DATA300\AudioBookSum\output_images\1706_03762v7_page_12.png,single column
1706.03762v7.pdf,D:\DATA300\AudioBookSum\output_images\1706_03762v7_page_13.png,single column
1706.03762v7.pdf,D:\DATA300\AudioBookSum\output_images\1706_03762v7_page_14.png,single column
1706.03762v7.pdf,D:\DATA300\AudioBookSum\output_images\1706_03762v7_page_15.png,single column
2210.05189v3.pdf,D:\DATA300\AudioBookSum\output_images\2210_05189v3_page_1.png,multicolumn
2210.05189v3.pdf,D:\DATA300\AudioBookSum\output_images\2210_05189v3_page_2.png,multicolumn
2210.05189v3.pdf,D:\DATA300\AudioBookSum\output_images\2210_05189v3_page_3.png,multicolumn
2210.05189v3.pdf,D:\DATA300\AudioBookSum\output_images\2210_05189v3_page_4.png,multicolumn
2210.05189v3.pdf,D:\DATA300\AudioBookSum\output_images\2210_05189v3_page_5.png,multicolumn
2210.05189v3.pdf,D:\DATA300\AudioBookSum\output_images\2210_05189v3_page_6.png,multicolumn
2210.05189v3.pdf,D:\DATA300\AudioBookSum\output_images\2210_05189v3_page_7.png,multicolumn
2210.05189v3.pdf,D:\DATA300\AudioBookSum\output_images\2210_05189v3_page_8.png,multicolumn
2303.00747v2.pdf,D:\DATA300\AudioBookSum\output_images\2303_00747v2_page_1.png,multicolumn
2303.00747v2.pdf,D:\DATA300\AudioBookSum\output_images\2303_00747v2_page_2.png,multicolumn
