num_blocks,median_width,std_width,median_height,std_height,median_x_center,std_x_center,median_y_center,std_y_center,total_width_ratio,median_aspect_ratio,norm_median_width,norm_std_x_center,image_path,label
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_1.png,multicolumn
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_2.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_3.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_4.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_5.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_6.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_7.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_8.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_9.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_10.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_11.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_12.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_13.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_14.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_15.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_16.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_17.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_18.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_19.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_20.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_21.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_22.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_23.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_24.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_25.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_26.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_27.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_28.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_29.png,single column
1.0,1655.0,0.0,1240.0,0.0,827.5,0.0,620.0,0.0,1.0,1.3346774193548387,1.0,0.0,D:\DATA300\AudioBookSum\output_images\04_29_19_page_30.png,single column
